u,v,weight
638240,526512,2.1712
921264,402592,2.1723
201424,109088,2.1752
959072,845200,2.1759
589888,262896,2.1760
152704,18960,2.1765
946608,42128,2.1767
207664,210288,2.1776
514304,812240,2.1804
465872,727552,2.1821
306288,242896,2.1827
680704,242944,2.1845
614256,85648,2.1869
602128,798528,2.1880
460640,52080,2.1901
491808,71408,2.1912
556496,327088,2.1919
667536,644016,2.1924
611504,65344,2.1926
289008,850320,2.1926
608768,103584,2.1935
436464,99920,2.1946
788064,712528,2.1956
550336,433312,2.1974
601104,61280,2.1996
374512,283376,2.1998
943392,916176,2.1998
925888,399920,2.2004
634544,327152,2.2028
471152,862128,2.2049
15808,12032,2.2059
605520,366944,2.2061
912864,271840,2.2098
165216,87344,2.2127
362304,237744,2.2139
579600,120080,2.2151
384464,15376,2.2153
76288,564768,2.2158
700736,282304,2.2167
78192,519632,2.2186
979104,470928,2.2191
799408,991296,2.2196
950192,108336,2.2200
880272,633504,2.2212
236016,133296,2.2214
165856,138368,2.2215
742736,679648,2.2216
511312,182368,2.2225
646960,563056,2.2227
384864,568896,2.2232
504896,338224,2.2239
555776,470256,2.2260
697584,62256,2.2267
420768,237968,2.2295
840768,98576,2.2301
44016,257504,2.2302
953920,949808,2.2305
1056,304,2.2322
375360,117152,2.2322
125216,436208,2.2323
427360,291664,2.2330
729056,525824,2.2342
827968,524144,2.2358
228960,204208,2.2362
401616,285424,2.2390
449760,177920,2.2390
356736,244384,2.2419
557360,916384,2.2424
831504,975424,2.2438
621120,40192,2.2444
169952,565008,2.2456
845088,655632,2.2456
606496,568576,2.2465
608960,971856,2.2474
281584,336640,2.2474
650528,296112,2.2475
832896,313696,2.2513
795696,25152,2.2530
562144,400320,2.2538
517760,114816,2.2539
663968,919408,2.2560
866016,269184,2.2563
517040,782160,2.2563
602096,277728,2.2568
142848,463600,2.2578
619792,132336,2.2585
699872,21760,2.2592
568256,227440,2.2600
160800,393856,2.2609
470912,823824,2.2647
155728,53824,2.2679
204208,115712,2.2691
131888,111600,2.2697
836896,971856,2.2727
526784,466656,2.2731
878816,329520,2.2736
533728,262752,2.2762
957680,449264,2.2764
288192,750032,2.2780
253888,72208,2.2800
711680,5888,2.2802
